Settlement ID,Date,Ledger,Party,Amount,Commission,Fees,TCS
STL-00300,2026-05-15,HDFC Bank,JioMart,34577.17,4063.56,505.99,345.77
STL-00301,2026-11-13,HDFC Bank,Amazon Marketplace,73997.15,9569.71,1955.75,739.97
STL-00302,2026-05-13,HDFC Bank,Myntra,10594.15,1530.3,212.42,105.94
STL-00303,2026-11-22,HDFC Bank,Meesho,64896.17,3518.19,678.53,648.96
STL-00304,2026-11-27,HDFC Bank,Flipkart Seller,50365.49,7437.94,1413.51,503.65
STL-00305,2026-08-31,HDFC Bank,Amazon Marketplace,16789.3,2299.95,396.86,167.89
STL-00306,2026-05-15,HDFC Bank,Myntra,54951.71,4221.0,1089.55,549.52
STL-00307,2026-08-31,HDFC Bank,Flipkart Seller,35770.23,3137.89,1260.29,357.7
STL-00308,2026-04-09,HDFC Bank,Myntra,17731.32,1588.11,706.82,177.31
STL-00309,2026-12-13,HDFC Bank,JioMart,80021.04,11385.59,1426.89,800.21
STL-00310,2026-05-01,HDFC Bank,Flipkart Seller,86046.16,4441.8,2059.3,860.46
STL-00311,2026-05-20,HDFC Bank,Myntra,13136.97,1286.68,396.39,131.37
STL-00312,2026-11-11,HDFC Bank,Flipkart Seller,4678.08,563.52,62.88,46.78
STL-00313,2026-05-25,HDFC Bank,Meesho,49208.92,2953.24,1881.18,492.09
STL-00314,2026-09-27,HDFC Bank,Myntra,80259.37,7938.11,2230.92,802.59
STL-00315,2026-11-04,HDFC Bank,Meesho,28467.9,2038.26,334.29,284.68
STL-00316,2026-06-12,HDFC Bank,Flipkart Seller,48401.48,4696.77,1688.22,484.01
STL-00317,2026-11-16,HDFC Bank,Flipkart Seller,73015.58,3850.6,2659.14,730.16
STL-00318,2026-05-28,HDFC Bank,JioMart,72648.08,8099.65,2897.19,726.48
STL-00319,2026-05-07,HDFC Bank,Amazon Marketplace,92345.88,6961.49,2848.59,923.46
STL-00320,2026-04-19,HDFC Bank,JioMart,104213.26,6019.41,3749.86,1042.13
STL-00321,2026-09-03,HDFC Bank,Myntra,33871.93,4477.62,549.88,338.72
STL-00322,2026-10-19,HDFC Bank,Amazon Marketplace,112384.2,9522.84,2398.78,1123.84
STL-00323,2026-05-17,HDFC Bank,Myntra,39024.42,3521.58,893.83,390.24
STL-00324,2026-04-18,HDFC Bank,Myntra,117575.56,13506.65,3388.1,1175.76
STL-00325,2026-07-25,HDFC Bank,Myntra,101511.21,12014.56,3216.96,1015.11
STL-00326,2026-12-21,HDFC Bank,Flipkart Seller,101306.67,9052.92,1928.69,1013.07
STL-00327,2026-10-13,HDFC Bank,Amazon Marketplace,104100.83,7375.03,3866.13,1041.01
STL-00328,2026-05-25,HDFC Bank,Flipkart Seller,105951.56,12516.95,3913.12,1059.52
STL-00329,2026-08-09,HDFC Bank,Myntra,58461.51,3423.36,656.38,584.62
STL-00330,2026-06-25,HDFC Bank,Meesho,36406.13,3177.04,1000.89,364.06
STL-00331,2026-09-28,HDFC Bank,Meesho,29866.42,4249.35,1007.86,298.66
STL-00332,2026-06-10,HDFC Bank,JioMart,88146.91,4594.8,1720.4,881.47
STL-00333,2026-07-17,HDFC Bank,Amazon Marketplace,69225.97,9754.46,2165.69,692.26
STL-00334,2026-07-27,HDFC Bank,Meesho,43416.02,3715.4,857.8,434.16
STL-00335,2026-12-08,HDFC Bank,Myntra,32772.04,4748.54,506.28,327.72
STL-00336,2026-04-02,HDFC Bank,Amazon Marketplace,50472.17,3571.92,632.37,504.72
STL-00337,2026-10-10,HDFC Bank,Meesho,119467.94,16831.61,3428.7,1194.68
STL-00338,2026-09-30,HDFC Bank,JioMart,75712.36,7074.89,2052.44,757.12
STL-00339,2026-08-17,HDFC Bank,Myntra,92827.6,13843.0,3697.64,928.28
STL-00340,2026-11-24,HDFC Bank,JioMart,46153.34,3584.34,929.92,461.53
STL-00341,2026-10-22,HDFC Bank,JioMart,29428.48,2347.86,323.95,294.28
STL-00342,2026-12-12,HDFC Bank,JioMart,4175.82,528.69,67.09,41.76
STL-00343,2026-05-14,HDFC Bank,JioMart,26494.13,1690.02,463.38,264.94
STL-00344,2026-12-04,HDFC Bank,Flipkart Seller,90608.92,6323.92,1534.34,906.09
STL-00345,2026-05-18,HDFC Bank,JioMart,35053.0,4417.36,609.17,350.53
STL-00346,2026-05-21,HDFC Bank,Meesho,37534.82,5426.65,663.55,375.35
STL-00347,2026-06-29,HDFC Bank,Amazon Marketplace,83469.24,4510.22,1576.69,834.69
STL-00348,2026-04-24,HDFC Bank,JioMart,51426.19,2839.45,2024.3,514.26
STL-00349,2026-10-24,HDFC Bank,Flipkart Seller,45633.26,4282.05,658.99,456.33
STL-00350,2026-10-20,HDFC Bank,Meesho,61696.54,7745.06,2127.82,616.97
STL-00351,2026-08-23,HDFC Bank,Amazon Marketplace,42510.43,2371.44,434.74,425.1
STL-00352,2026-06-26,HDFC Bank,Flipkart Seller,62324.95,5619.95,1104.05,623.25
STL-00353,2026-06-30,HDFC Bank,Meesho,86294.27,7852.73,1317.79,862.94
STL-00354,2026-07-26,HDFC Bank,Myntra,78585.31,5533.19,2739.18,785.85
STL-00355,2026-07-07,HDFC Bank,JioMart,93949.86,10844.98,2719.82,939.5
STL-00356,2026-11-06,HDFC Bank,JioMart,23399.92,1344.35,550.55,234.0
STL-00357,2026-07-28,HDFC Bank,Myntra,116055.63,7492.01,1949.81,1160.56
STL-00358,2026-07-13,HDFC Bank,Meesho,116092.95,5971.77,3549.55,1160.93
STL-00359,2026-08-05,HDFC Bank,Flipkart Seller,119752.08,9672.11,1737.24,1197.52
STL-00360,2026-05-05,HDFC Bank,Amazon Marketplace,62123.21,5019.76,2137.61,621.23
STL-00361,2026-05-01,HDFC Bank,Flipkart Seller,65911.27,3349.98,2061.94,659.11
STL-00362,2026-07-19,HDFC Bank,Flipkart Seller,114048.04,12985.99,2983.88,1140.48
STL-00363,2026-08-10,HDFC Bank,Amazon Marketplace,103830.51,14859.36,2526.73,1038.31
STL-00364,2026-11-01,HDFC Bank,JioMart,75662.76,5625.38,2012.29,756.63
STL-00365,2026-10-29,HDFC Bank,Amazon Marketplace,6358.43,580.88,224.99,63.58
STL-00366,2026-11-13,HDFC Bank,Amazon Marketplace,2560.75,281.45,63.18,25.61
STL-00367,2026-05-22,HDFC Bank,Myntra,50767.48,6531.97,1850.0,507.67
STL-00368,2026-07-30,HDFC Bank,JioMart,31347.28,1799.59,494.93,313.47
STL-00369,2026-07-13,HDFC Bank,Amazon Marketplace,3105.52,231.67,110.28,31.06
STL-00370,2026-09-23,HDFC Bank,Amazon Marketplace,97905.21,7660.56,1167.41,979.05
STL-00371,2026-07-14,HDFC Bank,Flipkart Seller,18646.37,1192.88,389.83,186.46
STL-00372,2026-07-08,HDFC Bank,Flipkart Seller,96299.26,9584.7,3150.52,962.99
STL-00373,2026-10-18,HDFC Bank,JioMart,15925.75,1021.81,327.16,159.26
STL-00374,2026-06-06,HDFC Bank,Amazon Marketplace,97404.77,13105.89,1498.09,974.05
STL-00375,2026-04-17,HDFC Bank,JioMart,16147.55,1534.27,503.62,161.48
STL-00376,2026-08-05,HDFC Bank,Flipkart Seller,117982.85,8807.26,3352.61,1179.83
STL-00377,2026-11-03,HDFC Bank,Amazon Marketplace,32696.29,4354.79,756.14,326.96
STL-00378,2026-06-24,HDFC Bank,Myntra,99272.97,12819.55,1969.9,992.73
STL-00379,2026-10-16,HDFC Bank,Myntra,2548.21,157.17,89.63,25.48
STL-00380,2026-09-11,HDFC Bank,Meesho,11904.37,667.19,261.52,119.04
STL-00381,2026-06-17,HDFC Bank,JioMart,49844.45,5004.16,1505.2,498.44
STL-00382,2026-10-22,HDFC Bank,Amazon Marketplace,62118.25,3844.87,1741.72,621.18
STL-00383,2026-12-18,HDFC Bank,Amazon Marketplace,31909.1,4522.4,1164.94,319.09
STL-00384,2026-12-12,HDFC Bank,Meesho,46983.02,4318.96,746.93,469.83
STL-00385,2026-07-19,HDFC Bank,Amazon Marketplace,10329.86,954.67,275.11,103.3
STL-00386,2026-07-11,HDFC Bank,Myntra,72287.05,5469.98,1243.4,722.87
STL-00387,2026-10-01,HDFC Bank,Myntra,84099.6,7082.62,1400.4,841.0
STL-00388,2026-12-16,HDFC Bank,Amazon Marketplace,42135.51,5354.52,1027.81,421.36
STL-00389,2026-08-30,HDFC Bank,Myntra,9280.81,707.95,295.72,92.81
STL-00390,2026-09-30,HDFC Bank,JioMart,31363.48,2261.91,680.16,313.63
STL-00391,2026-11-04,HDFC Bank,Flipkart Seller,17446.98,2207.43,651.71,174.47
STL-00392,2026-04-28,HDFC Bank,Amazon Marketplace,111314.0,15379.15,2241.28,1113.14
STL-00393,2026-06-19,HDFC Bank,Amazon Marketplace,119109.83,12374.32,1575.45,1191.1
STL-00394,2026-11-26,HDFC Bank,Amazon Marketplace,112729.24,10839.81,2693.07,1127.29
STL-00395,2026-05-12,HDFC Bank,Amazon Marketplace,50045.17,3701.86,1811.17,500.45
STL-00396,2026-11-15,HDFC Bank,Flipkart Seller,106154.11,11032.37,3007.69,1061.54
STL-00397,2026-12-16,HDFC Bank,Meesho,32628.74,4348.51,648.35,326.29
STL-00398,2026-04-22,HDFC Bank,Myntra,17935.86,1670.88,387.53,179.36
STL-00399,2026-04-06,HDFC Bank,Amazon Marketplace,79829.03,7075.48,1197.13,798.29
STL-00400,2026-04-03,HDFC Bank,Meesho,51030.34,6273.81,1183.37,510.3
