Item Name,Base Units,Under,HSN Code,GST Rate,Opening Qty,Opening Rate
Bedsheet Double - Variant 366,Pack,Finished Goods,63041930,12,215,125.1
Ball Pen - Variant 367,Pcs,Finished Goods,96081019,18,354,2477.4
Notebook A5 - Variant 368,Kg,Finished Goods,48201010,12,370,2819.35
Bluetooth Speaker - Variant 369,Kg,Finished Goods,85182200,18,40,895.54
Face Wash - Variant 370,Pcs,Finished Goods,34013090,18,52,2595.09
Basmati Rice 5kg - Variant 371,Pack,Finished Goods,10063020,5,225,507.15
Ball Pen - Variant 372,Box,Finished Goods,96081019,18,120,2517.87
Yoga Mat - Variant 373,Box,Finished Goods,39181090,18,10,2815.12
Hand Sanitizer - Variant 374,Pcs,Finished Goods,38089400,18,376,2414.19
Extension Board - Variant 375,Pcs,Finished Goods,85366990,18,266,669.84
Notebook A5 - Variant 376,Set,Finished Goods,48201010,12,459,1494.04
Denim Jeans - Variant 377,Kg,Finished Goods,62034200,12,250,1221.84
Cotton T-Shirt - Variant 378,Set,Finished Goods,61091000,5,145,2550.1
Denim Jeans - Variant 379,Nos,Finished Goods,62034200,12,141,1264.04
Notebook A5 - Variant 380,Nos,Finished Goods,48201010,12,488,526.0
Leather Wallet - Variant 381,Pack,Finished Goods,42021190,18,251,1708.11
Extension Board - Variant 382,Kg,Finished Goods,85366990,18,237,2767.78
Face Wash - Variant 383,Kg,Finished Goods,34013090,18,452,2277.01
Green Tea - Variant 384,Kg,Finished Goods,09102090,18,470,1223.38
Ceramic Mug - Variant 385,Pack,Finished Goods,69120010,12,39,2582.98
Basmati Rice 5kg - Variant 386,Box,Finished Goods,10063020,5,278,729.15
Basmati Rice 5kg - Variant 387,Set,Finished Goods,10063020,5,343,2746.79
Steel Water Bottle - Variant 388,Set,Finished Goods,73239390,18,316,2195.54
Cotton T-Shirt - Variant 389,Pack,Finished Goods,61091000,5,158,2909.86
Extension Board - Variant 390,Nos,Finished Goods,85366990,18,297,2788.77
Extension Board - Variant 391,Box,Finished Goods,85366990,18,205,2774.5
Denim Jeans - Variant 392,Set,Finished Goods,62034200,12,368,1859.48
Notebook A5 - Variant 393,Box,Finished Goods,48201010,12,17,74.02
Extension Board - Variant 394,Pcs,Finished Goods,85366990,18,285,1502.26
Cotton T-Shirt - Variant 395,Box,Finished Goods,61091000,5,319,1544.39
USB Cable - Variant 396,Pcs,Finished Goods,85444299,18,50,828.03
Extension Board - Variant 397,Set,Finished Goods,85366990,18,443,95.67
Ceramic Mug - Variant 398,Nos,Finished Goods,69120010,12,203,1287.13
Basmati Rice 5kg - Variant 399,Set,Finished Goods,10063020,5,314,2515.79
Steel Water Bottle - Variant 400,Pcs,Finished Goods,73239390,18,68,1138.49
Face Wash - Variant 401,Pcs,Finished Goods,34013090,18,191,1165.39
Almonds 500g - Variant 402,Pack,Finished Goods,08021200,12,461,1003.48
Green Tea - Variant 403,Kg,Finished Goods,09102090,18,117,1864.68
Cotton T-Shirt - Variant 404,Set,Finished Goods,61091000,5,375,1088.78
Notebook A5 - Variant 405,Box,Finished Goods,48201010,12,353,2461.46
Wall Clock - Variant 406,Kg,Finished Goods,91051900,18,108,724.23
Bedsheet Double - Variant 407,Set,Finished Goods,63041930,12,406,1198.47
Face Wash - Variant 408,Kg,Finished Goods,34013090,18,150,2465.53
Bluetooth Speaker - Variant 409,Pcs,Finished Goods,85182200,18,433,335.09
Bedsheet Double - Variant 410,Box,Finished Goods,63041930,12,369,309.21
Ball Pen - Variant 411,Pack,Finished Goods,96081019,18,144,1553.44
Cotton T-Shirt - Variant 412,Pcs,Finished Goods,61091000,5,450,924.0
Bluetooth Speaker - Variant 413,Pack,Finished Goods,85182200,18,40,2645.19
LED Bulb 9W - Variant 414,Box,Finished Goods,85395000,12,325,887.29
Bluetooth Speaker - Variant 415,Pack,Finished Goods,85182200,18,215,22.09
Face Wash - Variant 416,Box,Finished Goods,34013090,18,453,460.12
Face Wash - Variant 417,Pack,Finished Goods,34013090,18,378,1226.95
Extension Board - Variant 418,Set,Finished Goods,85366990,18,284,2702.41
Ceramic Mug - Variant 419,Nos,Finished Goods,69120010,12,417,977.97
Ceramic Mug - Variant 420,Pcs,Finished Goods,69120010,12,174,2893.75
Cotton T-Shirt - Variant 421,Box,Finished Goods,61091000,5,6,564.44
Steel Water Bottle - Variant 422,Nos,Finished Goods,73239390,18,211,1800.25
Cotton T-Shirt - Variant 423,Kg,Finished Goods,61091000,5,125,910.35
Wall Clock - Variant 424,Box,Finished Goods,91051900,18,379,2405.3
Cotton T-Shirt - Variant 425,Box,Finished Goods,61091000,5,462,1619.74
Face Wash - Variant 426,Pack,Finished Goods,34013090,18,113,1104.13
Leather Wallet - Variant 427,Pack,Finished Goods,42021190,18,112,708.69
Extension Board - Variant 428,Pack,Finished Goods,85366990,18,20,249.04
Turmeric Powder - Variant 429,Kg,Finished Goods,09103020,5,377,107.55
Almonds 500g - Variant 430,Pack,Finished Goods,08021200,12,488,1183.0
Hand Sanitizer - Variant 431,Set,Finished Goods,38089400,18,278,2875.61
Face Wash - Variant 432,Pack,Finished Goods,34013090,18,168,1801.95
Wall Clock - Variant 433,Pcs,Finished Goods,91051900,18,66,1070.0
USB Cable - Variant 434,Set,Finished Goods,85444299,18,381,1631.11
Cotton T-Shirt - Variant 435,Nos,Finished Goods,61091000,5,197,2779.12
Face Wash - Variant 436,Set,Finished Goods,34013090,18,238,1385.59
Ceramic Mug - Variant 437,Set,Finished Goods,69120010,12,48,2474.6
Hand Sanitizer - Variant 438,Kg,Finished Goods,38089400,18,310,324.91
Ceramic Mug - Variant 439,Nos,Finished Goods,69120010,12,260,2782.73
Wall Clock - Variant 440,Set,Finished Goods,91051900,18,428,1499.07
Steel Water Bottle - Variant 441,Pcs,Finished Goods,73239390,18,183,741.18
Almonds 500g - Variant 442,Set,Finished Goods,08021200,12,334,735.87
Turmeric Powder - Variant 443,Pack,Finished Goods,09103020,5,233,1113.55
Face Wash - Variant 444,Box,Finished Goods,34013090,18,18,372.17
Denim Jeans - Variant 445,Pack,Finished Goods,62034200,12,437,1254.92
Yoga Mat - Variant 446,Set,Finished Goods,39181090,18,474,2395.99
Extension Board - Variant 447,Nos,Finished Goods,85366990,18,328,2887.54
USB Cable - Variant 448,Box,Finished Goods,85444299,18,291,737.6
USB Cable - Variant 449,Set,Finished Goods,85444299,18,159,1605.19
Denim Jeans - Variant 450,Nos,Finished Goods,62034200,12,99,1712.91
Extension Board - Variant 451,Box,Finished Goods,85366990,18,473,716.12
Extension Board - Variant 452,Set,Finished Goods,85366990,18,439,1515.73
Hand Sanitizer - Variant 453,Pcs,Finished Goods,38089400,18,401,1252.07
Hand Sanitizer - Variant 454,Set,Finished Goods,38089400,18,55,2874.73
Almonds 500g - Variant 455,Pack,Finished Goods,08021200,12,346,539.72
Leather Wallet - Variant 456,Box,Finished Goods,42021190,18,158,1077.23
Turmeric Powder - Variant 457,Pack,Finished Goods,09103020,5,298,1448.95
Ceramic Mug - Variant 458,Set,Finished Goods,69120010,12,327,535.4
Bluetooth Speaker - Variant 459,Nos,Finished Goods,85182200,18,70,2742.65
Cotton T-Shirt - Variant 460,Box,Finished Goods,61091000,5,62,483.63
LED Bulb 9W - Variant 461,Nos,Finished Goods,85395000,12,427,288.52
Ceramic Mug - Variant 462,Pcs,Finished Goods,69120010,12,304,2287.25
Ball Pen - Variant 463,Kg,Finished Goods,96081019,18,36,124.76
Bedsheet Double - Variant 464,Pack,Finished Goods,63041930,12,41,2584.41
Cotton T-Shirt - Variant 465,Set,Finished Goods,61091000,5,186,162.81
Steel Water Bottle - Variant 466,Kg,Finished Goods,73239390,18,62,1161.8
Ceramic Mug - Variant 467,Kg,Finished Goods,69120010,12,384,263.13
Almonds 500g - Variant 468,Pack,Finished Goods,08021200,12,347,732.47
Ball Pen - Variant 469,Nos,Finished Goods,96081019,18,212,1942.35
LED Bulb 9W - Variant 470,Nos,Finished Goods,85395000,12,333,2711.5
Leather Wallet - Variant 471,Kg,Finished Goods,42021190,18,199,2606.12
Leather Wallet - Variant 472,Set,Finished Goods,42021190,18,427,860.96
Ceramic Mug - Variant 473,Pack,Finished Goods,69120010,12,239,1503.31
Bedsheet Double - Variant 474,Box,Finished Goods,63041930,12,255,1841.89
Basmati Rice 5kg - Variant 475,Nos,Finished Goods,10063020,5,132,1601.78
Yoga Mat - Variant 476,Set,Finished Goods,39181090,18,204,2882.65
Ball Pen - Variant 477,Box,Finished Goods,96081019,18,96,2106.04
Bluetooth Speaker - Variant 478,Box,Finished Goods,85182200,18,63,228.01
Denim Jeans - Variant 479,Pack,Finished Goods,62034200,12,397,2598.91
Wall Clock - Variant 480,Nos,Finished Goods,91051900,18,72,1379.51
Ceramic Mug - Variant 481,Nos,Finished Goods,69120010,12,362,1591.37
Ball Pen - Variant 482,Nos,Finished Goods,96081019,18,50,2629.61
Face Wash - Variant 483,Kg,Finished Goods,34013090,18,286,1194.98
Wall Clock - Variant 484,Box,Finished Goods,91051900,18,193,1247.03
Hand Sanitizer - Variant 485,Kg,Finished Goods,38089400,18,17,799.89
Almonds 500g - Variant 486,Box,Finished Goods,08021200,12,46,1399.85
Notebook A5 - Variant 487,Pcs,Finished Goods,48201010,12,484,1982.16
Ceramic Mug - Variant 488,Pcs,Finished Goods,69120010,12,216,1581.5
USB Cable - Variant 489,Box,Finished Goods,85444299,18,418,581.21
Extension Board - Variant 490,Kg,Finished Goods,85366990,18,216,2548.52
Bedsheet Double - Variant 491,Set,Finished Goods,63041930,12,132,136.97
Extension Board - Variant 492,Pcs,Finished Goods,85366990,18,401,2035.16
Almonds 500g - Variant 493,Nos,Finished Goods,08021200,12,25,2314.33
Turmeric Powder - Variant 494,Set,Finished Goods,09103020,5,52,2523.82
Leather Wallet - Variant 495,Pcs,Finished Goods,42021190,18,291,368.22
Steel Water Bottle - Variant 496,Pcs,Finished Goods,73239390,18,26,53.55
Hand Sanitizer - Variant 497,Nos,Finished Goods,38089400,18,262,902.47
Almonds 500g - Variant 498,Box,Finished Goods,08021200,12,171,856.94
Ceramic Mug - Variant 499,Kg,Finished Goods,69120010,12,417,2305.82
Almonds 500g - Variant 500,Box,Finished Goods,08021200,12,426,73.5
